Region Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,0.182030899,-0.092708883,-2.355108644,-0.591581108,1.899017289,4.283193111,5.454771734,3.838777545,1.758374564,2.655959056,3.219802994,3.510146739,3.841646362,2.963405156,5.557363528,6.164835859,6.5775942,6.646593491,4.371097572,0.880331358,5.233777972,4.069019771,1.756210204,4.250345099,3.983181784,3.011571982,2.183580781,2.651399742,2.681718104,2.189259284,-2.780378552,4.497379983,3.554422329,2.622310407
Africa Western and Central,5.773827878,1.009364624,2.483662615,-1.317609109,-0.323480855,1.9191127,4.64980876,4.447027153,3.609311837,1.545024146,3.859760263,5.209094155,9.927427149,5.532966565,7.992698604,5.828940032,5.374761558,5.522718727,6.281465308,6.282102398,6.970600619,4.849289011,5.135432218,6.106610282,5.92558282,2.813979007,0.141488618,2.28496137,2.842645003,3.222028518,-1.004417394,3.994854397,3.784485678,3.342775594
Caribbean small states,-0.872625886,-0.987619201,-0.539800831,0.906971942,3.312282744,2.839356107,4.056851949,3.391553599,3.57732737,3.941487011,3.658960992,1.299605472,2.154775703,1.849366797,2.823409214,3.280619789,4.456252799,3.30016126,0.542179394,-2.599820145,0.991500471,1.716845682,2.328032415,0.07382763,1.763824459,0.697970066,0.471963597,1.943260286,2.891163477,1.024653223,-9.193462793,10.44403235,22.47821734,12.71585628
Central Europe and the Baltics,..,-10.86537815,-4.998183892,0.199351659,3.6853114,5.492109387,4.546917513,2.313651777,2.680100746,1.906916315,3.956858383,3.080647759,3.614744067,4.087104826,5.83995749,5.019021837,6.594761131,6.4329645,3.9356154,-3.506548725,1.436268024,3.514208876,0.825752521,0.667716325,3.215752783,4.026322092,2.75319275,5.101273967,4.946400183,3.908521817,-3.41747604,6.433398707,4.247073127,0.511703045
East Asia & Pacific,5.06745285,4.8544593,4.244202243,4.198741033,5.238420282,5.668933323,5.620713891,4.054422439,0.450968964,3.737391826,5.396241428,3.299042532,4.377250818,4.947553287,5.867643987,5.899301158,6.453779318,7.466572879,4.384950012,2.560947134,7.609593533,5.461872631,5.183055659,5.245060847,4.758704284,4.728386041,4.659079892,5.053174482,4.759154814,3.960221914,-0.144692822,6.221136264,2.88602958,4.095178604
Europe & Central Asia,2.293723366,0.152366016,-0.710081755,-0.787107792,1.213991343,2.149588249,1.783450907,3.076030849,2.628196329,2.877870439,4.35525178,2.258353407,1.584291485,1.794935889,3.19087691,2.671830192,3.865035264,3.651589897,1.016573256,-4.457882374,2.659273741,2.347580292,0.359988683,0.847820022,1.926600373,2.058147045,1.899821631,2.908722502,2.13444056,1.80525623,-5.462443712,6.523851921,3.157498664,0.964032942
European Union,3.305009352,1.419414138,0.887791116,-0.641563132,2.638593412,2.678593581,1.881369515,2.653187597,3.010797088,2.948691332,3.900525156,2.175909601,1.110752072,0.908252361,2.59250681,1.924743009,3.494445516,3.156121525,0.641259952,-4.348699861,2.225118385,1.900956841,-0.701866418,-0.082642393,1.600652502,2.309377745,1.972307776,2.844765369,2.06690197,1.805311971,-5.6528569,6.008729292,3.478653735,0.450652378
Latin America & Caribbean,-0.378314422,2.947664426,2.570719816,4.395173086,5.226183601,0.828610692,3.968157968,5.390491607,2.979827809,0.679480476,3.609968867,0.453271766,0.464241186,2.45501149,5.435783683,3.931813629,5.129489942,5.181815476,3.640487793,-2.279091936,6.388674472,4.395543068,2.566619511,2.760268493,1.336538436,0.407853688,-0.334793598,1.889825233,1.571706298,0.718740959,-6.649245673,6.996791927,3.987930947,2.153083954
Middle East & North Africa,10.27037873,3.578750391,5.950064298,2.034823727,2.895655708,2.974158216,4.949719249,4.077832313,4.387448459,1.995947026,6.764847901,1.529608273,1.522981811,5.058172264,7.840269733,4.97968652,5.896159796,5.16054571,4.576027486,0.594667396,5.060228679,3.747592823,3.939340388,2.173460042,2.832882412,2.690417306,4.359753776,1.957243597,2.262259344,1.378349639,-4.023299372,5.572890856,5.748362666,1.780039753
North America,1.74443651,-0.273108205,3.308204869,2.744488331,4.064132892,2.685011835,3.607318116,4.434224651,4.437091253,4.815017414,4.161970417,1.030222543,1.801247401,2.71703866,3.787375448,3.46128323,2.774314639,2.008083046,0.181624378,-2.604607645,2.723959171,1.686211317,2.243378598,2.133496888,2.549447137,2.761104558,1.757413592,2.502844962,2.947893142,2.422733377,-2.434355246,5.761285546,2.078673679,2.429616697
Pacific island small states,3.776179426,-0.381665226,5.007804296,1.98501597,4.806499598,4.514121687,3.157241109,-1.161393244,1.465671829,4.377038011,-1.688679901,1.024188154,2.065591466,1.986225666,3.991092401,2.439815701,2.375748209,0.420858616,2.131216768,-0.592074857,3.730325639,3.862083438,1.006008536,3.214677163,3.6242973,3.779157081,3.780607336,4.005501791,2.763180129,1.214500228,-10.25306854,-2.867965543,9.308397154,5.75845168
South Asia,5.396915261,2.107795412,5.806666442,4.286290178,5.918223911,6.823803684,6.708154636,3.694576558,5.445163898,7.512664933,4.112449812,4.35912767,3.721075351,7.176071101,7.548722986,7.612733442,7.618528801,7.139166126,3.298104994,6.949900159,7.365992009,5.071221948,5.381289736,6.008601615,6.847837891,7.251561624,7.776235507,6.502640993,6.334693554,3.92432284,-4.582693129,8.76382055,6.312211692,6.35285494
Sub-Saharan Africa,2.354102752,0.349682156,-0.399974821,-0.892892704,0.980602759,3.318887957,5.130876872,4.082400465,2.502329777,2.20461393,3.478123727,4.198461361,6.331164751,4.050089793,6.60196092,6.018879164,6.055864144,6.16224217,5.189440688,3.180480862,5.995572687,4.414404934,3.25824844,5.090440548,4.87076022,2.920373883,1.242037176,2.484283288,2.754967058,2.65974505,-1.966894827,4.264936892,3.660562423,2.955095532
World,2.764541122,1.255826392,2.019256604,1.812976008,3.323942443,3.08461458,3.574686427,3.929713861,2.853925344,3.549717353,4.531094789,2.025402869,2.302836989,3.104275673,4.469258855,4.00586591,4.442792696,4.37327669,2.062495933,-1.355782091,4.529545973,3.327132697,2.709115158,2.868222143,3.12386991,3.126135588,2.820557285,3.460239118,3.286612988,2.642216435,-2.932043344,6.259851284,3.089607464,2.719333366
